shock_id,shock_type,shock_family,candidate_window,event_anchor_year,window_start_year,window_end_year,source_ids,source_summary,exposure_families,segment_mapping_note,mapping_requirement,caveats,source_urls
gas_globalization_2016,policy/market access,U.S. LNG export opening,2016,2016,2016,2016,eia_lng_exports,Modern Lower-48 LNG export capacity opened U.S. gas markets more directly to global demand.,oil_gas_petroleum; gas_utility,"Maps to gas production, LNG terminals, Gulf Coast midstream, and industrial gas demand.",Needs geography/facility linkage for LNG terminal or Gulf Coast exposure.,Post-2010 window only; sample composition and shale-era trends need separate controls.,https://www.eia.gov/TODAYINENERGY/detail.php?id=67224
early_exchange_futures_west_1996,power derivative availability,Western power futures: COB and Palo Verde,1996,1996,1996,1996,cftc_energy_derivatives; caiso_ferc_staff; cme_delist_power,First two exchange-traded electricity futures began trading for COB and Palo Verde in March 1996.,electric_power_output,Maps to western power hubs; segment data need an external hub-to-state or service-territory crosswalk.,Use an explicit western hub footprint before assigning treated firms.,Some later regulatory summaries describe western trading history differently; log source conflicts if using exact first-trade timing.,https://www.cftc.gov/sites/default/files/opa/speeches/opadial-69.htm; https://www.caiso.com/documents/fercstaffreportel00-95-3.pdf; https://www.cmegroup.com/media-room/press-releases/2006/1/17/exchange_to_delistphysicallysettledelectricitycontractsonnymexcl.html
early_exchange_futures_midwest_south_1998,power derivative availability,Eastern Interconnection power futures: Cinergy and Entergy,1998,1998,1998,1998,ferc_midwest_report; cftc_1999_futures,Regulatory/exchange records document Cinergy and Entergy electricity futures in the late-1990s expansion.,electric_power_output,"Maps to Midwest and South utility or hub exposure, not generic electric SIC alone.",Define each hub footprint separately.,Hub definitions and physical-market footprints need external documentation.,https://www.ferc.gov/sites/default/files/2020-05/mastback.pdf; https://www.cftc.gov/sites/default/files/files/anr/anr1999_futures_by_exchange.pdf
early_exchange_futures_pjm_1999,power derivative availability,PJM exchange-traded electricity futures,1999,1999,1999,1999,cftc_1999_futures,CFTC tables list PJM electricity futures in the late-1990s exchange-traded power contract set.,electric_power_output,More directly a derivative-availability row than the PJM market-design row.,Link firms to PJM exposure before using this as a treated event.,Do not pool with PJM LMP unless the estimand is explicitly broad institutional change.,https://www.cftc.gov/sites/default/files/files/anr/anr1999_futures_by_exchange.pdf
western_hub_expansion_midc_2000,power derivative availability,Western hub expansion: Mid-Columbia,2000,2000,2000,2000,caiso_ferc_staff,FERC/CAISO staff report identifies Mid-Columbia as an additional western electricity futures hub.,electric_power_output,Adds Pacific Northwest hub exposure.,Needs Pacific Northwest hub footprint and utility operating territory mapping.,Western crisis timing may confound a narrow derivative-availability interpretation.,https://www.caiso.com/documents/fercstaffreportel00-95-3.pdf
cleared_nodal_power_contracts_2009,power derivative availability,Cleared nodal power contracts,2009,2009,2009,2009,nodal_launch; nodal_dcm,Nodal Exchange launched cleared cash-settled nodal power contracts and later registered as a DCM.,electric_power_output,"Maps to ISO/RTO nodes and hubs, not directly to segment geography.",Requires node/hub-to-firm or service-territory mapping.,Better treated as national/exploratory until a node-footprint layer exists.,https://www.nodalexchange.com/lch-clearnet-and-nodal-exchange-launch-service-for-nodal-power-contracts/; https://www.nodalexchange.com/nodal-exchange-receives-cftc-approval-to-register-as-a-designated-contract-market/
cleared_power_swap_expansion_2005_2009,power derivative availability,Financially settled power swap futures expansion,2005-2009,2009,2005,2009,cme_power_2005; cme_power_2009; cme_power_ser4999,"NYMEX/CME added financially settled power futures across PJM, NYISO, ISO-NE, MISO, ERCOT, and CAISO-related hubs.",electric_power_output,Broad derivative-menu expansion; each contract still maps to a specific hub or ISO/RTO.,Group contracts by hub/ISO before constructing regional treatment.,This is more market-access/menu expansion than a local institutional shock.,https://www.cmegroup.com/media-room/press-releases/2005/2/09/exchange_to_launchelevennewfinanciallysettledelectricityfuturesc.html; https://investor.cmegroup.com/news-releases/news-release-details/cme-group-announces-launch-new-pjm-iso-electricity-futures; https://www.cmegroup.com/tools-information/lookups/advisories/market-regulation/SER-4999.html
short_dated_power_contracts_2012,power derivative availability,Short-dated daily power contracts,2012,2012,2012,2012,cme_daily_power_2012; cme_gas_power_2012,NYMEX/CME listed daily electricity futures and a broader suite of natural gas and power markets in 2012.,electric_power_output; gas_utility,Contract-design expansion across several hubs and zones.,Use as a national/exploratory derivative-market expansion unless hub-level mapping is added.,Not a single regional institutional shock.,https://www.cmegroup.com/tools-information/lookups/advisories/market-regulation/SER-6378.html; https://www.cmegroup.com/media-room/press-releases/2012/9/10/cme_group_launchesnewnaturalgasandpowermarkets.html
pjm_energy_market_design_1997_1999,power market design,"PJM bid-based, LMP, and market-based energy-market transition",1997-1999,1998,1997,1999,pjm_history; pjm_som_1999,PJM opened a bid-based market in 1997 and moved through LMP and market-based bidding implementation by 1999.,electric_power_output,Maps to PJM-footprint electric-power segments and potentially load-serving entities.,Keep market-design timing separate from derivative-listing timing.,Annual segment data may not distinguish the three close implementation milestones.,https://www.pjm.com/about-pjm/who-we-are/pjm-history.aspx; https://www.monitoringanalytics.com/reports/PJM_State_of_the_Market/1999/state-of-the-market-report-1999.pdf
miso_energy_market_2005,power market design,MISO day-ahead and real-time energy markets,2005,2005,2005,2005,ferc_miso,FERC describes MISO market operations beginning in April 2005.,electric_power_output,Maps to the original MISO footprint rather than later MISO South integration.,Separate original MISO states/members from MISO South entrants.,"This is market-design access, not direct hedge-use evidence.",https://www.ferc.gov/industries-data/electric/electric-power-markets/miso
ercot_nodal_market_2010,power market design,ERCOT nodal market,2010,2010,2010,2010,ercot_2010_financials,ERCOT implemented the nodal wholesale market in December 2010.,electric_power_output,Annual Texas-market window if a Texas/utility operating-footprint crosswalk exists.,Identify ERCOT operating exposure; headquarters state alone is a fallback proxy.,ERCOT is institutionally distinct from FERC-jurisdictional RTOs.,https://www.ercot.com/files/docs/2011/04/26/ercot_2010_financial_statements.pdf
miso_south_integration_2013,regional power market expansion,MISO South integration,2013,2013,2013,2013,ferc_miso; eia_miso_south,MISO South systems integrated into MISO in December 2013.,electric_power_output,Maps to AR/LA/MS/TX utility footprints and named joining systems.,"Use utility/service-area membership, not all firms in broad states.",MISO market operations existed since 2005; this is a regional expansion window.,https://www.ferc.gov/industries-data/electric/electric-power-markets/miso; https://www.eia.gov/todayinenergy/detail.cfm?id=13511
spp_integrated_marketplace_2014,regional power market expansion,SPP Integrated Marketplace,2014,2014,2014,2014,spp_integrated_marketplace; spp_markets,"SPP launched the Integrated Marketplace with day-ahead, real-time, TCR, RUC, reserve, and balancing authority functions.",electric_power_output,Maps to SPP footprint states and members.,Construct SPP member/territory exposure before treatment coding.,Broad multi-state event.,https://www.spp.org/news-list/spp-marks-a-decade-of-integrated-marketplace-and-more-than-102-billion-in-savings/; https://www.spp.org/markets-operations/
western_eim_launch_2014,regional power market expansion,CAISO / Western Energy Imbalance Market,2014,2014,2014,2014,caiso_eim; ferc_caiso,CAISO and PacifiCorp launched the financially binding Western EIM in November 2014.,electric_power_output,Maps first to PacifiCorp and later staggered EIM balancing-authority footprints.,Represent later EIM entrants as staggered rows if the design uses expansion timing.,Real-time imbalance market only; it is not the same as full RTO membership.,https://www.caiso.com/documents/californiaiso_pacificorplaunchfirstwesternenergymarket.pdf; https://www.ferc.gov/industries-data/electric/electric-power-markets/caiso
weather_derivatives_1999,weather risk derivative availability,Weather derivatives,1999,1999,1999,1999,cme_weather,CME introduced exchange-traded weather derivatives in 1999.,electric_power_output; agriculture_food,"Possible link to utilities, agriculture/food, seasonal retail, and insurance-like exposures.",Requires local weather exposure or revenue-seasonality evidence.,GEOSEG and segment names are likely too coarse to observe weather exposure directly.,https://www.cmegroup.com/articles/2023/cme-group-weather-suite-expanded.html
